Task Name,Description,Status,Priority,Assignee,Tags,Estimate,Due Date
FE-N-01 Project setup (Vite + TS),"npm create vite@latest (react-ts). Add react-router-dom, @tanstack/react-query, axios. ESLint + Prettier. .env.example with VITE_API_BASE_URL=http://localhost:8080/api. Done: npm run dev opens empty app on :5173. Branch: fe/nizamettin/setup. Dependency: none.",to do,Urgent,Nizamettin,setup,0.5d,
FE-N-02 Layout / AppShell,"Top header (project name, coordinator role placeholder). Left menu: Dashboard, New Application. Responsive, clean, modern layout. Done: all pages render inside shared shell. Dependency: FE-N-01.",to do,High,Nizamettin,layout,0.5d,
FE-N-03 Routing,"Routes: / (list), /new (upload), /cases/:id (detail). 404 page. Done: navigation between pages via links works. Dependency: FE-N-02.",to do,High,Nizamettin,routing,0.5d,
FE-N-04 API client + types,"src/api/client.ts: base URL, interceptor, error normalization per PROJECT_OVERVIEW. src/api/types.ts: Case, CaseStatus, ValidationResult, AuditLogEntry, Recommendation. Done: types match API contract; single import entry. Dependency: FE-N-01.",to do,Urgent,Nizamettin,api,1d,
FE-N-05 Mock infrastructure (MSW),"MSW handlers for all endpoints in PROJECT_OVERVIEW. At least 6 sample cases (valid, incomplete, rule violation, ambiguous). Env flag to toggle mock on/off. Done: FE works with backend off. Dependency: FE-N-04.",to do,Urgent,Nizamettin,mock,1d,
FE-N-06 Shared UI components,"StatusBadge (per CaseStatus), Button, Spinner/Loading, EmptyState, Toast/Notification, Modal. Demo page showing all components. Done: Alvin can reuse on detail pages. Dependency: FE-N-02.",to do,High,Nizamettin,ui,1d,
FE-N-07 Case List page,"GET /cases via TanStack Query. Table: student, company, status badge, date, recommendation. Row click navigates to detail. Done: list loads from mock; navigation works. Dependency: FE-N-05, FE-N-06.",to do,High,Nizamettin,cases;list,1d,
FE-N-08 Filter and search,"Status dropdown filter, text search (student/company), pagination (page, size). Sync filters to URL query params. Done: filter/search updates list. Dependency: FE-N-07.",to do,Normal,Nizamettin,cases;list,0.5d,
FE-N-09 New Application (PDF upload),"Drag-and-drop + file picker. PDF only + size validation. POST /cases multipart; redirect to detail on success. Upload progress/disabled state. Done: upload creates case (mock) and opens detail. Dependency: FE-N-05.",to do,High,Nizamettin,cases;upload,1d,
FE-N-10 Loading error empty states (list side),"Skeleton/spinner for list and upload. Error messages and empty list state. Done: all list/upload states handled visually. Dependency: FE-N-07, FE-N-09.",to do,Normal,Nizamettin,ui,0.5d,
FE-N-11 Role placeholder (RBAC UI),"Coordinator role indicator in header. No real auth; structure ready for later. Done: role read from single config/source. Dependency: FE-N-02.",to do,Low,Nizamettin,ui,0.25d,
FE-A-01 Case Detail scaffold,"Route /cases/:id with GET /cases/{id} (TanStack Query). Layout: PDF/summary left; tabs right (Fields, Validation, Recommendation/Decision, History). Loading, error, not-found states. Done: detail opens with mock data; tabs work. Dependency: FE-N-04, FE-N-06.",to do,High,Alvin,cases;detail,1d,
FE-A-02 Extracted fields panel,"Display student name, ID, field of study, company, supervisor, supervisor email, internship dates, duration. Highlight empty/missing fields. Optional inline edit (PATCH later). Done: fields clear; gaps obvious. Dependency: FE-A-01.",to do,High,Alvin,cases;detail,1d,
FE-A-03 Trigger extraction,"Re-extract button calls POST /cases/{id}/extract. Disable/poll while status EXTRACTING. Done: fields refresh when extraction completes. Dependency: FE-A-02.",to do,High,Alvin,cases;detail,0.5d,
FE-A-04 Validation panel,"GET /cases/{id}/validation. Completeness and Rules sections. Per issue: field, message, severity badge. Pass/fail summary. Done: both types listed; severity color-coded. Dependency: FE-A-01.",to do,High,Alvin,validation,1d,
FE-A-05 Recommendation display,"Show recommendation (APPROVE/REJECT/CLARIFY) and recommendationReason card. Generate recommendation via POST /cases/{id}/recommendation. Done: readable recommendation; generate button works. Dependency: FE-A-04.",to do,High,Alvin,recommendation,0.5d,
FE-A-06 Decision panel (Human-in-the-Loop),"Approve, Reject, Request Clarification + note. POST /cases/{id}/decision. Confirm before approve; disable actions after decision. Done: coordinator decision updates status and audit. Dependency: FE-A-05.",to do,Urgent,Alvin,decision,1d,
FE-A-07 Clarification email modal,"POST /cases/{id}/clarification returns draft. Modal: view, edit, send (mock). Done: draft visible; send action works. Dependency: FE-A-06.",to do,Normal,Alvin,email,0.5d,
FE-A-08 Supervisor verification modal,"POST /cases/{id}/supervisor-verification returns draft. Modal: view, edit, send (mock). Done: supervisor draft flow works. Dependency: FE-A-06.",to do,Normal,Alvin,email,0.5d,
FE-A-09 Audit log timeline,"GET /cases/{id}/audit. Chronological timeline: actor, action, detail, timestamp. Distinguish SYSTEM/agent vs COORDINATOR. Done: full history in time order. Dependency: FE-A-01.",to do,High,Alvin,audit,1d,
FE-A-10 PDF preview,"GET /cases/{id}/documents/{docId}. Display PDF via iframe or react-pdf on detail page. Done: uploaded PDF visible. Dependency: FE-A-01.",to do,Normal,Alvin,cases;detail,1d,
FE-A-11 Detail-side polish,"Loading/disabled on actions, error toasts, query invalidate after mutations. Done: detail page smooth; errors user-friendly. Dependency: FE-A-06 through FE-A-10.",to do,Normal,Alvin,ui,0.5d,
FE-INT-01 Connect to real API,"Turn off MSW; point VITE_API_BASE_URL to backend :8080. Verify CORS with Aykut. Nizamettin: list/upload flows. Alvin: detail flows. Done: full FE works against real API. Dependency: FE-N-05, FE-A-01; backend BE-05+ ready.",to do,Urgent,Nizamettin,integration,0.5d,
FE-INT-02 Connect to real API (detail verification),"Verify all detail endpoints on real backend: extract, validation, recommendation, decision, clarification, supervisor, audit, PDF. Done: Alvin detail flows E2E with backend. Dependency: FE-INT-01, FE-A-11.",to do,Urgent,Alvin,integration,0.5d,
FE-INT-03 End-to-end demo flow,"Scenario: upload, extract, validate, recommend, decide, audit. Prepare demo video script with sample cases. Done: uninterrupted demo path. Owners: Nizamettin + Alvin. Dependency: FE-INT-01, FE-INT-02.",to do,High,Nizamettin,integration;demo,0.5d,
FE-INT-04 End-to-end demo flow (detail walkthrough),"Alvin owns detail-side demo: decision panel, email modals, audit timeline in recording. Done: detail portion demo-ready. Dependency: FE-INT-03.",to do,High,Alvin,integration;demo,0.5d,
FE-INT-05 UI/UX polish,"Consistent spacing/colors, accessibility, mobile/tablet checks, light animations. TDD UX criterion 10%. Nizamettin: list/upload pages. Alvin: detail pages. Done: UI clean and consistent. Dependency: FE-INT-02.",to do,Normal,Nizamettin,ui;polish,0.5d,
FE-INT-06 UI/UX polish (detail),"Polish detail tabs, modals, timeline, PDF preview. Done: detail UX meets demo quality. Dependency: FE-INT-05.",to do,Normal,Alvin,ui;polish,0.5d,
